user_id,post_id,title,body,title_translated,body_translated,title_length,body_length
1,1,sunt aut facere repellat provident occaecati excepturi optio reprehenderit,"quia et suscipit
suscipit recusandae consequuntur expedita et cum
reprehenderit molestiae ut ut quas totam
nostrum rerum est autem sunt rem eveniet architecto","because it also receives
it takes the consequences of refusing to be expedient and when
He blames the whole trouble for what it is
Ours is a matter of fact, but it will happen to the architect","because it also receives
it takes the consequences of refusing to be expedient and when
He blames the whole trouble for what it is
Ours is a matter of fact, but it will happen to the architect",74,158
1,2,qui est esse,"est rerum tempore vitae
sequi sint nihil reprehenderit dolor beatae ea dolores neque
fugiat blanditiis voluptate porro vel nihil molestiae ut reiciendis
qui aperiam non debitis possimus qui neque nisi nulla",who is to be,"it is the time of life
to follow them, nothing blames the pain of the blessed ones nor those pains
let him avoid flattery with pleasure, or no trouble so as to be rejected
those who do not have to open, we cannot, but those who do not have nothing",12,206
1,3,ea molestias quasi exercitationem repellat qui ipsa sit aut,"et iusto sed quo iure
voluptatem occaecati omnis eligendi aut ad
voluptatem doloribus vel accusantium quis pariatur
molestiae porro eius odio et labore et velit aut",she repulses those troubles as if she were an exercise,"and by what right
the pleasure of being blinded by every choice or ad
who is spared the pleasure of pains or accusers
He hates his trouble and toils, whether he likes or not",59,164
1,4,eum et est occaecati,"ullam et saepe reiciendis voluptatem adipisci
sit amet autem assumenda provident rerum culpa
quis hic commodi nesciunt rem tenetur doloremque ipsam iure
quis sunt voluptatem rerum illo velit",and he is blinded,"get pleasure from rejecting any and often
but it is important to assume that they provide the fault of the things
those who do not know the benefits here are bound by the law and the pain itself
Who wants the pleasure of those things?",20,190
1,5,nesciunt quas odio,"repudiandae veniam quaerat sunt sed
alias aut fugiat sit autem sed est
voluptatem omnis possimus esse voluptatibus quis
est aut tenetur dolor neque",they do not know what they hate,"but they are to seek forgiveness for the divorce
he may flee otherwise, but he is
We can all be pleasures
pain is either held or not",18,147
1,6,dolorem eum magni eos aperiam quia,"ut aspernatur corporis harum nihil quis provident sequi
mollitia nobis aliquid molestiae
perspiciatis et ea nemo ab reprehenderit accusantium quas
voluptate dolores velit et doloremque molestiae",I will open them because the pain is great,"so that the body of these is asperated, no one provides to follow
flexibility is a bit of a problem for us
see, and no one will criticize those who accuse
He likes pains with pleasure and pain and discomfort",34,194
1,7,magnam facilis autem,"dolore placeat quibusdam ea quo vitae
magni quis enim qui quis quo nemo aut saepe
quidem repellat excepturi ut quia
sunt ut sequi eos ea sed quas",but a great one is easy,"with pain may please some the things of life
for the great who who who where no one or often
Indeed, it repels the exception that because
but they are to follow them",20,145
1,8,dolorem dolore est ipsam,"dignissimos aperiam dolorem qui eum
facilis quibusdam animi sint suscipit qui sint possimus cum
quaerat magni maiores excepturi
ipsam ut commodi dolor voluptatum modi aut vitae",pain is pain itself,"I will open the pain that deserves him
let some of them be of easy mind and take up who they are with us
let him seek to receive the great elders
itself as the comfortable pain of the pleasures of fashion or life",24,176
1,9,nesciunt iure omnis dolorem tempora et accusantium,"consectetur animi nesciunt iure dolore
enim quia ad
veniam autem ut quam aut nobis
et est aut quod aut provident voluptas autem voluptas",they do not know the right of all the pain of the times and accusers,"they do not know the right of suffering
for because ad
but I will come as it is for us
and it is either that or they provide pleasure, and pleasure is pleasure",50,136
1,10,optio molestias id quia eum,"quo et expedita modi cum officia vel magni
doloribus qui repudiandae
vero nisi sit
quos veniam quod sed accusamus veritatis error",the choice of trouble because him,"in which and expedient manner with offices or great ones
the pains of being rejected
unless it be
whom I forgive because we accuse the error of the truth",27,129
